"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"1304062","AM","Tabatinga","https://cidades.ibge.gov.br/brasil/am/tabatinga/panorama","68.502 pessoas","52.272 pessoas","16,21 hab/km²","1,9 salários mínimos","4.211 pessoas","6,4 %","48,2 %","91,2 %","4,8","4,1","12.880 matrículas","4.005 matrículas","581 docentes","169 docentes","51 escolas","9 escolas","8.274,57 R$","- %","0,616","111.041,91 R$ (×1000)","98.245,23 R$ (×1000)","23,73 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","10 estabelecimentos","3.266,062 km²","21,6 %","35,5 %","8,5 %","Amazônia","Não pertence","Centro Subregional B (3B)","Manaus - Metrópole (1C)","Tefé","Tabatinga","Sudoeste Amazonense","Alto Solimões"
"1600105","AP","Amapá","https://cidades.ibge.gov.br/brasil/ap/amapa/panorama","9.265 pessoas","8.069 pessoas","0,88 hab/km²","1,8 salários mínimos","762 pessoas","8,4 %","46,5 %","95,8 %","4,0","3,4","1.625 matrículas","401 matrículas","97 docentes","17 docentes","16 escolas","1 escolas","15.202,70 R$","- %","0,642","14.952,63 R$ (×1000)","12.013,34 R$ (×1000)","11,83 óbitos por mil nascidos vivos","4,5 internações por mil habitantes","7 estabelecimentos","8.454,847 km²","33,9 %","47,7 %","6,4 %","Amazônia","Pertence","Centro Local (5)","Arranjo Populacional de Macapá/AP - Capital Regional C (2C)","Oiapoque - Porto Grande","Oiapoque","Norte do Amapá","Amapá"
"2922300","BA","Muritiba","https://cidades.ibge.gov.br/brasil/ba/muritiba/panorama","29.420 pessoas","28.899 pessoas","323,58 hab/km²","1,6 salários mínimos","2.512 pessoas","8,5 %","46,4 %","96,7 %","4,0","3,1","3.442 matrículas","1.055 matrículas","212 docentes","50 docentes","22 escolas","3 escolas","8.531,90 R$","93,8 %","0,660","57.288,43 R$ (×1000)","52.964,09 R$ (×1000)","22,51 óbitos por mil nascidos vivos","0 internações por mil habitantes","14 estabelecimentos","86,311 km²","14,6 %","30,1 %","50,3 %","Mata Atlântica","Não pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Cachoeira - Muritiba - Governador Mangabeira/BA","Feira de Santana - Capital Regional B (2B)","Santo Antônio de Jesus","Cruz das Almas","Metropolitana de Salvador","Santo Antônio de Jesus"
"1600501","AP","Oiapoque","https://cidades.ibge.gov.br/brasil/ap/oiapoque/panorama","28.534 pessoas","20.509 pessoas","0,91 hab/km²","2,0 salários mínimos","1.947 pessoas","7,1 %","42,5 %","96 %","4,1","3,7","5.214 matrículas","1.027 matrículas","361 docentes","76 docentes","46 escolas","12 escolas","16.003,40 R$","- %","0,658","35.540,68 R$ (×1000)","38.321,01 R$ (×1000)","6,71 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","23 estabelecimentos","23.034,392 km²","24,8 %","17 %","0,2 %","Amazônia","Pertence","Centro Local (5)","Arranjo Populacional de Macapá/AP - Capital Regional C (2C)","Oiapoque - Porto Grande","Oiapoque","Norte do Amapá","Oiapoque"
"1300631","AM","Beruri","https://cidades.ibge.gov.br/brasil/am/beruri/panorama","20.503 pessoas","15.486 pessoas","0,90 hab/km²","1,9 salários mínimos","1.218 pessoas","6,2 %","50,3 %","90,4 %","4,0","3,6","5.565 matrículas","1.155 matrículas","299 docentes","77 docentes","62 escolas","3 escolas","7.868,69 R$","95,7 %","0,506","49.151,43 R$ (×1000)","44.787,65 R$ (×1000)","7,62 óbitos por mil nascidos vivos","2,1 internações por mil habitantes","2 estabelecimentos","17.472,779 km²","26,7 %","1,7 %","13,1 %","Amazônia","Não pertence","Centro Local (5)","Manaus - Metrópole (1C)","Manaus","Coari","Centro Amazonense","Coari"
"2917508","BA","Jacobina","https://cidades.ibge.gov.br/brasil/ba/jacobina/panorama","80.749 pessoas","79.247 pessoas","33,60 hab/km²","2,1 salários mínimos","12.012 pessoas","14,9 %","45,6 %","97,3 %","4,8","3,7","11.440 matrículas","3.651 matrículas","556 docentes","280 docentes","61 escolas","10 escolas","17.237,46 R$","82,4 %","0,649","178.031,75 R$ (×1000)","185.694,46 R$ (×1000)","19,99 óbitos por mil nascidos vivos","1,9 internações por mil habitantes","29 estabelecimentos","2.192,905 km²","53,6 %","43 %","6,2 %","Caatinga","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Feira de Santana","Jacobina","Centro Norte Baiano","Jacobina"
"1600212","AP","Cutias","https://cidades.ibge.gov.br/brasil/ap/cutias/panorama","6.217 pessoas","4.696 pessoas","2,22 hab/km²","1,3 salários mínimos","411 pessoas","6,9 %","46,4 %","96,9 %","4,1","-","1.003 matrículas","181 matrículas","79 docentes","18 docentes","12 escolas","2 escolas","12.993,99 R$","- %","0,628","- R$ (×1000)","- R$ (×1000)","33,33 óbitos por mil nascidos vivos","- internações por mil habitantes","6 estabelecimentos","2.179,114 km²","0,6 %","31,7 %","0 %","Amazônia","Pertence","Centro Local (5)","Arranjo Populacional de Macapá/AP - Capital Regional C (2C)","Oiapoque - Porto Grande","Oiapoque","Sul do Amapá","Macapá"
"2920908","BA","Mascote","https://cidades.ibge.gov.br/brasil/ba/mascote/panorama","13.619 pessoas","14.640 pessoas","18,95 hab/km²","1,6 salários mínimos","974 pessoas","7,0 %","51,2 %","95 %","3,7","3,4","2.003 matrículas","549 matrículas","143 docentes","24 docentes","15 escolas","2 escolas","9.338,70 R$","94,7 %","0,581","32.920,25 R$ (×1000)","31.755,56 R$ (×1000)","7,04 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","9 estabelecimentos","742,689 km²","45,6 %","26,9 %","23,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Camacan - Centro de Zona B (4B)","Ilhéus ¿ Itabuna","Camacan","Sul Baiano","Ilhéus-Itabuna"
"2911105","BA","Formosa do Rio Preto","https://cidades.ibge.gov.br/brasil/ba/formosa-do-rio-preto/panorama","26.111 pessoas","22.528 pessoas","1,38 hab/km²","2,3 salários mínimos","2.861 pessoas","11,2 %","53,6 %","97,3 %","4,9","3,8","3.962 matrículas","1.395 matrículas","281 docentes","54 docentes","44 escolas","4 escolas","106.481,34 R$","91,3 %","0,618","115.659,78 R$ (×1000)","101.995,33 R$ (×1000)","11,16 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","8 estabelecimentos","15.634,328 km²","3,1 %","82,4 %","1,7 %","Cerrado","Não pertence","Centro Local (5)","Barreiras - Capital Regional C (2C)","Barreiras","Barreiras","Extremo Oeste Baiano","Barreiras"
"2923902","BA","Pau Brasil","https://cidades.ibge.gov.br/brasil/ba/pau-brasil/panorama","9.550 pessoas","10.852 pessoas","17,89 hab/km²","1,9 salários mínimos","834 pessoas","8,5 %","50 %","96,9 %","5,0","3,2","1.608 matrículas","388 matrículas","108 docentes","28 docentes","7 escolas","2 escolas","9.120,44 R$","93,9 %","0,583","23.849,09 R$ (×1000)","22.547,15 R$ (×1000)","21,58 óbitos por mil nascidos vivos","4,1 internações por mil habitantes","7 estabelecimentos","626,306 km²","63,6 %","8 %","52,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)","Ilhéus ¿ Itabuna","Camacan","Sul Baiano","Ilhéus-Itabuna"
"2910909","BA","Firmino Alves","https://cidades.ibge.gov.br/brasil/ba/firmino-alves/panorama","5.641 pessoas","5.384 pessoas","33,15 hab/km²","1,3 salários mínimos","884 pessoas","15,7 %","38,3 %","95 %","5,0","4,9","707 matrículas","247 matrículas","52 docentes","8 docentes","6 escolas","1 escolas","8.586,85 R$","97,8 %","0,578","16.165,13 R$ (×1000)","15.348,09 R$ (×1000)","20,83 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","4 estabelecimentos","172,353 km²","74 %","76,1 %","49,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)\; Itororó - Centro de Zona B (4B)","Ilhéus ¿ Itabuna","Ilhéus ¿ Itabuna","Sul Baiano","Ilhéus-Itabuna"
"2909901","BA","Curaçá","https://cidades.ibge.gov.br/brasil/ba/curaca/panorama","35.065 pessoas","32.168 pessoas","5,29 hab/km²","2,0 salários mínimos","2.405 pessoas","6,9 %","52 %","97,4 %","4,9","3,6","5.565 matrículas","1.185 matrículas","268 docentes","59 docentes","47 escolas","4 escolas","9.240,01 R$","90,6 %","0,581","71.569,41 R$ (×1000)","71.326,79 R$ (×1000)","11,95 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","10 estabelecimentos","5.950,614 km²","36,3 %","93,1 %","0 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Petrolina/PE - Juazeiro/BA - Capital Regional C (2C)","Juazeiro","Juazeiro","Vale São-Franciscano da Bahia","Juazeiro"
"2929354","BA","São José da Vitória","https://cidades.ibge.gov.br/brasil/ba/sao-jose-da-vitoria/panorama","5.562 pessoas","5.715 pessoas","78,84 hab/km²","1,4 salários mínimos","591 pessoas","10,4 %","49,9 %","97,3 %","4,3","2,9","821 matrículas","225 matrículas","59 docentes","17 docentes","5 escolas","1 escolas","8.478,96 R$","98,2 %","0,546","15.903,68 R$ (×1000)","16.539,19 R$ (×1000)","28,04 óbitos por mil nascidos vivos","1,8 internações por mil habitantes","4 estabelecimentos","127,925 km²","78,1 %","13,3 %","17,7 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)","Ilhéus ¿ Itabuna","Ilhéus ¿ Itabuna","Sul Baiano","Ilhéus-Itabuna"
"2911006","BA","Floresta Azul","https://cidades.ibge.gov.br/brasil/ba/floresta-azul/panorama","10.525 pessoas","10.660 pessoas","36,32 hab/km²","1,6 salários mínimos","777 pessoas","7,3 %","50,6 %","92,8 %","4,3","4,4","1.273 matrículas","398 matrículas","72 docentes","10 docentes","15 escolas","1 escolas","7.384,34 R$","96,3 %","0,557","34.148,90 R$ (×1000)","22.096,61 R$ (×1000)","20,2 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","5 estabelecimentos","321,013 km²","69,6 %","63,8 %","42,1 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)","Ilhéus ¿ Itabuna","Ilhéus ¿ Itabuna","Sul Baiano","Ilhéus-Itabuna"
"2914802","BA","Itabuna","https://cidades.ibge.gov.br/brasil/ba/itabuna/panorama","214.123 pessoas","204.667 pessoas","473,50 hab/km²","2,2 salários mínimos","46.529 pessoas","21,8 %","39 %","96,6 %","4,3","3,6","21.634 matrículas","7.173 matrículas","1.089 docentes","435 docentes","112 escolas","20 escolas","19.184,77 R$","79,4 %","0,712","506.552,92 R$ (×1000)","509.685,40 R$ (×1000)","15,8 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","84 estabelecimentos","401,028 km²","81,2 %","49,8 %","19,2 %","Mata Atlântica","Não pertence","Capital Regional B (2B)","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Ilhéus ¿ Itabuna","Ilhéus ¿ Itabuna","Sul Baiano","Ilhéus-Itabuna"
"2918407","BA","Juazeiro","https://cidades.ibge.gov.br/brasil/ba/juazeiro/panorama","219.544 pessoas","197.965 pessoas","30,45 hab/km²","2,1 salários mínimos","40.318 pessoas","18,6 %","41,7 %","96,7 %","5,7","4,2","35.867 matrículas","11.346 matrículas","1.556 docentes","676 docentes","142 escolas","27 escolas","19.032,14 R$","76,8 %","0,677","526.562,32 R$ (×1000)","509.953,68 R$ (×1000)","18,53 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","70 estabelecimentos","6.721,237 km²","64,2 %","73,6 %","10,4 %","Caatinga","Não pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA","Arranjo Populacional do Recife/PE - Metrópole (1C)","Juazeiro","Juazeiro","Vale São-Franciscano da Bahia","Juazeiro"
"2925253","BA","Ponto Novo","https://cidades.ibge.gov.br/brasil/ba/ponto-novo/panorama","14.729 pessoas","15.742 pessoas","31,65 hab/km²","1,7 salários mínimos","1.110 pessoas","7,4 %","52,9 %","98,1 %","4,8","3,8","2.688 matrículas","631 matrículas","159 docentes","19 docentes","27 escolas","1 escolas","7.544,35 R$","92,1 %","0,580","37.618,38 R$ (×1000)","36.066,75 R$ (×1000)","17,86 óbitos por mil nascidos vivos","2,8 internações por mil habitantes","8 estabelecimentos","530,144 km²","9,9 %","85,9 %","7,3 %","Caatinga","Não pertence","Centro Local (5)","Senhor do Bonfim - Centro Subregional A (3A)","Juazeiro","Senhor do Bonfim","Centro Norte Baiano","Jacobina"
"2927507","BA","Santa Bárbara","https://cidades.ibge.gov.br/brasil/ba/santa-barbara/panorama","20.971 pessoas","19.064 pessoas","55,15 hab/km²","1,6 salários mínimos","1.431 pessoas","6,9 %","53,3 %","99 %","4,1","3,0","3.318 matrículas","924 matrículas","207 docentes","63 docentes","27 escolas","3 escolas","8.147,30 R$","96,2 %","0,583","37.583,39 R$ (×1000)","32.501,87 R$ (×1000)","12,2 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","15 estabelecimentos","347,021 km²","5,9 %","70,2 %","12 %","Caatinga;Mata Atlântica","Não pertence","Centro Local (5)","Feira de Santana - Capital Regional B (2B)","Feira de Santana","Feira de Santana","Centro Norte Baiano","Feira de Santana"
"2924603","BA","Pindobaçu","https://cidades.ibge.gov.br/brasil/ba/pindobacu/panorama","20.048 pessoas","20.121 pessoas","40,54 hab/km²","1,7 salários mínimos","1.493 pessoas","7,4 %","54,8 %","98,6 %","5,0","3,3","2.872 matrículas","623 matrículas","159 docentes","20 docentes","20 escolas","2 escolas","6.558,46 R$","95,4 %","0,577","58.461,44 R$ (×1000)","53.873,40 R$ (×1000)","14,49 óbitos por mil nascidos vivos","2,6 internações por mil habitantes","10 estabelecimentos","495,845 km²","41,5 %","61,5 %","0,1 %","Caatinga","Não pertence","Centro Local (5)","Senhor do Bonfim - Centro Subregional A (3A)","Juazeiro","Senhor do Bonfim","Centro Norte Baiano","Senhor do Bonfim"
"2905008","BA","Caculé","https://cidades.ibge.gov.br/brasil/ba/cacule/panorama","23.407 pessoas","22.236 pessoas","33,27 hab/km²","1,5 salários mínimos","3.655 pessoas","15,8 %","46,3 %","97,3 %","6,6","5,2","2.685 matrículas","935 matrículas","181 docentes","50 docentes","15 escolas","2 escolas","11.872,73 R$","92,4 %","0,637","53.523,41 R$ (×1000)","42.783,35 R$ (×1000)","17,18 óbitos por mil nascidos vivos","3,9 internações por mil habitantes","8 estabelecimentos","610,983 km²","18,5 %","93,2 %","14,3 %","Caatinga;Cerrado","Não pertence","Centro de Zona B (4B)","Vitória da Conquista - Capital Regional B (2B)","Guanambi","Guanambi","Centro Sul Baiano","Guanambi"
"2902252","BA","Arataca","https://cidades.ibge.gov.br/brasil/ba/arataca/panorama","10.904 pessoas","10.392 pessoas","27,70 hab/km²","1,8 salários mínimos","786 pessoas","7,1 %","46 %","95,6 %","3,7","3,0","1.354 matrículas","299 matrículas","98 docentes","24 docentes","19 escolas","2 escolas","7.368,20 R$","96,5 %","0,559","27.011,71 R$ (×1000)","27.502,16 R$ (×1000)","46,3 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","8 estabelecimentos","435,962 km²","18,8 %","36,4 %","7,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)","Ilhéus ¿ Itabuna","Camacan","Sul Baiano","Ilhéus-Itabuna"
"2903235","BA","Barro Alto","https://cidades.ibge.gov.br/brasil/ba/barro-alto/panorama","15.171 pessoas","13.612 pessoas","32,68 hab/km²","1,8 salários mínimos","763 pessoas","5,1 %","53,9 %","98,4 %","5,2","4,2","1.846 matrículas","553 matrículas","125 docentes","22 docentes","16 escolas","1 escolas","6.203,97 R$","96,6 %","0,607","31.224,34 R$ (×1000)","30.355,90 R$ (×1000)","19,11 óbitos por mil nascidos vivos","1,6 internações por mil habitantes","6 estabelecimentos","414,510 km²","7,1 %","71,4 %","0,3 %","Caatinga","Não pertence","Centro Local (5)","Irecê - Centro Subregional A (3A)","Irecê","Irecê","Centro Norte Baiano","Irecê"
