"Código IBGE","Estado","Município","URL","Gentílico","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"1200336","PR","mancio-lima","https://cidades.ibge.gov.br/brasil/ac/mancio-lima","mancio-limense","19.643 pessoas","15.206 pessoas","2,79 hab/km² hab/km²","1,5 salários mínimos","910 pessoas","4,8 %","48,7 %","94,9 %","5,3","4,5","4.080 matrículas","977 matrículas","187 docentes","80 docentes","37 escolas","10 escolas","10.629,45 R$","96,7 %","0,625","40.273,44 R$ (×1000)","34.347,44 R$ (×1000)","26,09 óbitos por mil nascidos vivos","2,8 internações por mil habitantes","15 estabelecimentos","5.451,617 km²","8 %","7,5 %","4,7 %","Amazônia","Não pertence","Centro Local (5)","Cruzeiro do Sul - Centro Subregional B (3B)","Cruzeiro do Sul","Cruzeiro do Sul","Vale do Juruá","Cruzeiro do Sul"
"1200435","PR","santa-rosa-do-purus","https://cidades.ibge.gov.br/brasil/ac/santa-rosa-do-purus","santarosense","6.893 pessoas","4.691 pessoas","0,76 hab/km² hab/km²","2,2 salários mínimos","267 pessoas","4,1 %","48,3 %","63,8 %","3,7","4,0","2.180 matrículas","275 matrículas","111 docentes","17 docentes","56 escolas","9 escolas","11.233,49 R$","97,1 %","0,517","21.113,55 R$ (×1000)","18.486,84 R$ (×1000)","37,63 óbitos por mil nascidos vivos","9,5 internações por mil habitantes","4 estabelecimentos","6.155,858 km²","2,5 %","28,3 %","0 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Sena Madureira","Vale do Acre","Sena Madureira"
"1200054","PR","assis-brasil","https://cidades.ibge.gov.br/brasil/ac/assis-brasil","assis-brasiliense","7.649 pessoas","6.072 pessoas","1,22 hab/km² hab/km²","2,3 salários mínimos","454 pessoas","6,1 %","47,1 %","85,1 %","4,9","4,6","2.600 matrículas","330 matrículas","103 docentes","19 docentes","67 escolas","2 escolas","12.532,31 R$","- %","0,588","18.177,08 R$ (×1000)","17.004,91 R$ (×1000)","18,8 óbitos por mil nascidos vivos","2,3 internações por mil habitantes","5 estabelecimentos","4.979,073 km²","23,1 %","26,5 %","0 %","Amazônia","Não pertence","Centro Local (5)","Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil - Centro Subregional B (3B)","Rio Branco","Brasiléia","Vale do Acre","Brasiléia"
"1200252","PR","epitaciolandia","https://cidades.ibge.gov.br/brasil/ac/epitaciolandia","epitaciolandense","18.979 pessoas","15.100 pessoas","9,13 hab/km² hab/km²","1,6 salários mínimos","1.722 pessoas","9,4 %","42,9 %","93,7 %","6,0","5,0","2.757 matrículas","693 matrículas","96 docentes","17 docentes","17 escolas","2 escolas","25.349,75 R$","- %","0,653","31.996,17 R$ (×1000)","29.191,83 R$ (×1000)","12,74 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","8 estabelecimentos","1.652,674 km²","21,4 %","39,1 %","11 %","Amazônia","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil","Rio Branco - Capital Regional C (2C)","Rio Branco","Brasiléia","Vale do Acre","Brasiléia"
"1200500","PR","sena-madureira","https://cidades.ibge.gov.br/brasil/ac/sena-madureira","sena-madureirense","47.168 pessoas","38.029 pessoas","1,60 hab/km² hab/km²","1,6 salários mínimos","2.561 pessoas","5,6 %","46,3 %","85,4 %","5,7","4,8","7.670 matrículas","1.642 matrículas","353 docentes","96 docentes","131 escolas","26 escolas","11.475,22 R$","93,1 %","0,603","75.150,73 R$ (×1000)","64.406,76 R$ (×1000)","13,02 óbitos por mil nascidos vivos","15,2 internações por mil habitantes","14 estabelecimentos","23.759,512 km²","12,5 %","7 %","4,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Sena Madureira","Vale do Acre","Sena Madureira"
"1200393","PR","porto-walter","https://cidades.ibge.gov.br/brasil/ac/porto-walter","portowaltense","12.497 pessoas","9.176 pessoas","1,42 hab/km² hab/km²","1,5 salários mínimos","660 pessoas","5,5 %","48,9 %","93,3 %","4,2","4,1","3.025 matrículas","698 matrículas","169 docentes","9 docentes","43 escolas","2 escolas","9.569,61 R$","97,1 %","0,532","30.739,64 R$ (×1000)","29.105,95 R$ (×1000)","22,22 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","4 estabelecimentos","6.446,385 km²","0,4 %","5,3 %","2,5 %","Amazônia","Não pertence","Centro Local (5)","Cruzeiro do Sul - Centro Subregional B (3B)","Cruzeiro do Sul","Cruzeiro do Sul","Vale do Juruá","Cruzeiro do Sul"
"1200344","PR","manoel-urbano","https://cidades.ibge.gov.br/brasil/ac/manoel-urbano","manoel-urbanense","9.701 pessoas","7.981 pessoas","0,75 hab/km² hab/km²","1,9 salários mínimos","474 pessoas","5,0 %","46,9 %","78 %","5,4","4,8","2.355 matrículas","412 matrículas","82 docentes","12 docentes","31 escolas","1 escolas","13.389,93 R$","- %","0,551","20.832,27 R$ (×1000)","17.500,70 R$ (×1000)","43,48 óbitos por mil nascidos vivos","8 internações por mil habitantes","5 estabelecimentos","10.630,600 km²","12,8 %","- %","2,8 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Sena Madureira","Vale do Acre","Sena Madureira"
"1200138","PR","bujari","https://cidades.ibge.gov.br/brasil/ac/bujari","bujariense","10.572 pessoas","8.471 pessoas","2,79 hab/km² hab/km²","1,3 salários mínimos","1.603 pessoas","15,6 %","44,6 %","91,1 %","4,5","3,6","2.581 matrículas","579 matrículas","120 docentes","20 docentes","34 escolas","11 escolas","15.606,47 R$","- %","0,589","21.293,77 R$ (×1000)","16.796,61 R$ (×1000)","12,16 óbitos por mil nascidos vivos","- internações por mil habitantes","2 estabelecimentos","3.034,869 km²","18,9 %","6,8 %","9,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200807","PR","porto-acre","https://cidades.ibge.gov.br/brasil/ac/porto-acre","portoacrense","19.141 pessoas","14.880 pessoas","5,71 hab/km² hab/km²","1,9 salários mínimos","961 pessoas","5,2 %","48,3 %","90,4 %","-","-","3.462 matrículas","835 matrículas","151 docentes","58 docentes","28 escolas","9 escolas","12.855,64 R$","- %","0,576","30.554,60 R$ (×1000)","25.481,77 R$ (×1000)","7,92 óbitos por mil nascidos vivos","- internações por mil habitantes","6 estabelecimentos","2.604,417 km²","11,5 %","11,7 %","0,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200203","PR","cruzeiro-do-sul","https://cidades.ibge.gov.br/brasil/ac/cruzeiro-do-sul","cruzeirense","89.760 pessoas","78.507 pessoas","8,94 hab/km² hab/km²","1,7 salários mínimos","10.435 pessoas","11,8 %","44,2 %","94,9 %","5,7","5,0","18.759 matrículas","5.114 matrículas","780 docentes","266 docentes","149 escolas","23 escolas","16.261,39 R$","88,1 %","0,664","139.636,41 R$ (×1000)","135.990,85 R$ (×1000)","17,14 óbitos por mil nascidos vivos","1 internações por mil habitantes","40 estabelecimentos","8.783,470 km²","12,7 %","37,9 %","3,7 %","Amazônia","Não pertence","Centro Subregional B (3B)","Rio Branco - Capital Regional C (2C)","Cruzeiro do Sul","Cruzeiro do Sul","Vale do Juruá","Cruzeiro do Sul"
"2700201","PR","anadia","https://cidades.ibge.gov.br/brasil/al/anadia","anadiense","17.507 pessoas","17.424 pessoas","91,96 hab/km² hab/km²","1,7 salários mínimos","1.291 pessoas","7,4 %","52,1 %","94,4 %","5,7","4,2","2.364 matrículas","492 matrículas","123 docentes","18 docentes","17 escolas","1 escolas","9.399,28 R$","96,6 %","0,568","60.458,86 R$ (×1000)","15.188,74 R$ (×1000)","9,71 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","12 estabelecimentos","186,134 km²","18,6 %","53,9 %","17,5 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","São Miguel dos Campos","Leste Alagoano","São Miguel dos Campos"
"1200708","PR","xapuri","https://cidades.ibge.gov.br/brasil/ac/xapuri","xapuriense","19.866 pessoas","16.091 pessoas","3,01 hab/km² hab/km²","1,8 salários mínimos","921 pessoas","4,8 %","45,9 %","87,7 %","5,9","4,5","2.720 matrículas","639 matrículas","136 docentes","66 docentes","50 escolas","11 escolas","12.553,21 R$","- %","0,599","35.332,64 R$ (×1000)","28.563,76 R$ (×1000)","13,47 óbitos por mil nascidos vivos","2,2 internações por mil habitantes","9 estabelecimentos","5.350,586 km²","27,7 %","14,7 %","4,5 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Brasiléia","Vale do Acre","Brasiléia"
"2700409","PR","atalaia","https://cidades.ibge.gov.br/brasil/al/atalaia","atalaiense","47.540 pessoas","44.322 pessoas","83,82 hab/km² hab/km²","1,7 salários mínimos","4.514 pessoas","9,6 %","50,5 %","92,5 %","4,6","4,4","6.107 matrículas","1.388 matrículas","258 docentes","59 docentes","29 escolas","3 escolas","16.261,59 R$","88,8 %","0,561","110.965,47 R$ (×1000)","105.758,04 R$ (×1000)","17,74 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","19 estabelecimentos","533,258 km²","23,2 %","70 %","12,2 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","Atalaia","Leste Alagoano","Mata Alagoana"
"2700300","PR","arapiraca","https://cidades.ibge.gov.br/brasil/al/arapiraca","arapiraquense","234.309 pessoas","214.006 pessoas","600,83 hab/km² hab/km²","1,6 salários mínimos","40.850 pessoas","17,6 %","44,8 %","95,9 %","5,4","4,7","34.935 matrículas","8.886 matrículas","1.495 docentes","577 docentes","118 escolas","34 escolas","19.389,15 R$","65 %","0,649","589.893,32 R$ (×1000)","541.162,19 R$ (×1000)","14,88 óbitos por mil nascidos vivos","2,6 internações por mil habitantes","65 estabelecimentos","345,655 km²","19,1 %","74,4 %","12,2 %","Caatinga;Mata Atlântica","Não pertence","Capital Regional C (2C)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Arapiraca","Arapiraca","Agreste Alagoano","Arapiraca"
"2700607","PR","barra-de-sao-miguel","https://cidades.ibge.gov.br/brasil/al/barra-de-sao-miguel","barrense","8.434 pessoas","7.574 pessoas","98,86 hab/km² hab/km²","1,5 salários mínimos","2.117 pessoas","25,4 %","42,7 %","96,2 %","5,4","4,1","1.388 matrículas","284 matrículas","70 docentes","13 docentes","7 escolas","1 escolas","23.554,26 R$","67,3 %","0,615","34.324,33 R$ (×1000)","30.000,38 R$ (×1000)","12,2 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","6 estabelecimentos","74,247 km²","52,7 %","25,2 %","3 %","Mata Atlântica","Pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","Maceió","Leste Alagoano","Maceió"
"2700508","PR","barra-de-santo-antonio","https://cidades.ibge.gov.br/brasil/al/barra-de-santo-antonio","barrense","16.201 pessoas","14.230 pessoas","102,79 hab/km² hab/km²","1,8 salários mínimos","1.157 pessoas","7,3 %","51,6 %","93,3 %","4,5","3,6","2.804 matrículas","427 matrículas","106 docentes","18 docentes","12 escolas","1 escolas","11.013,89 R$","- %","0,557","42.214,85 R$ (×1000)","31.190,59 R$ (×1000)","3,53 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","7 estabelecimentos","131,364 km²","23,4 %","70,9 %","9,5 %","Mata Atlântica","Pertence","Capital Regional A (2A) - Município integrante do Arranjo Populacional de Maceió/AL","Arranjo Populacional do Recife/PE - Metrópole (1C)","Maceió","Maceió","Leste Alagoano","Maceió"
"1200609","PR","tarauaca","https://cidades.ibge.gov.br/brasil/ac/tarauaca","tarauacaense","43.730 pessoas","35.590 pessoas","1,76 hab/km² hab/km²","2,1 salários mínimos","2.045 pessoas","4,8 %","47,4 %","85,6 %","5,0","4,7","10.554 matrículas","2.087 matrículas","392 docentes","106 docentes","82 escolas","18 escolas","11.645,35 R$","93,8 %","0,539","71.657,95 R$ (×1000)","63.519,41 R$ (×1000)","21,87 óbitos por mil nascidos vivos","3,4 internações por mil habitantes","14 estabelecimentos","20.169,485 km²","9,3 %","59,1 %","0,8 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Cruzeiro do Sul","Tarauacá","Vale do Juruá","Tarauacá"
"2700102","PR","agua-branca","https://cidades.ibge.gov.br/brasil/al/agua-branca","água-branquense","20.263 pessoas","19.377 pessoas","42,62 hab/km² hab/km²","1,8 salários mínimos","1.367 pessoas","6,8 %","53 %","97 %","4,9","4,1","3.391 matrículas","701 matrículas","163 docentes","46 docentes","10 escolas","2 escolas","7.004,81 R$","95,3 %","0,549","48.527,43 R$ (×1000)","43.341,73 R$ (×1000)","9,29 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","12 estabelecimentos","468,229 km²","27,2 %","33,9 %","6,1 %","Caatinga","Não pertence","Centro Local (5)","Delmiro Gouveia - Centro Subregional B (3B)","Arapiraca","Delmiro Gouveia","Sertão Alagoano","Serrana do Sertão Alagoano"
"2701001","PR","boca-da-mata","https://cidades.ibge.gov.br/brasil/al/boca-da-mata","matense","27.429 pessoas","25.776 pessoas","138,19 hab/km² hab/km²","1,8 salários mínimos","2.205 pessoas","8,1 %","51,3 %","95,3 %","5,1","4,3","3.534 matrículas","854 matrículas","170 docentes","43 docentes","9 escolas","2 escolas","12.132,78 R$","59 %","0,604","67.278,88 R$ (×1000)","71.328,07 R$ (×1000)","33,33 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","17 estabelecimentos","193,002 km²","65,5 %","77,2 %","19 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","São Miguel dos Campos","Leste Alagoano","São Miguel dos Campos"
"2701308","PR","cajueiro","https://cidades.ibge.gov.br/brasil/al/cajueiro","cajueirense","21.397 pessoas","20.409 pessoas","164,24 hab/km² hab/km²","2,0 salários mínimos","1.426 pessoas","6,7 %","49,8 %","96,2 %","4,9","4,1","3.096 matrículas","620 matrículas","119 docentes","35 docentes","14 escolas","2 escolas","8.676,02 R$","91,6 %","0,562","59.318,50 R$ (×1000)","58.018,04 R$ (×1000)","19,17 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","14 estabelecimentos","94,357 km²","9,2 %","45,6 %","22,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","Atalaia","Leste Alagoano","Mata Alagoana"
"2701357","PR","campestre","https://cidades.ibge.gov.br/brasil/al/campestre","camprestrense","6.972 pessoas","6.598 pessoas","99,39 hab/km² hab/km²","1,4 salários mínimos","600 pessoas","8,7 %","49,5 %","95,5 %","5,0","4,8","956 matrículas","221 matrículas","44 docentes","14 docentes","4 escolas","1 escolas","8.437,50 R$","97,3 %","0,559","19.684,13 R$ (×1000)","20.007,47 R$ (×1000)","21,51 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","2 estabelecimentos","65,910 km²","55,1 %","29,6 %","14,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Palmares - Centro Subregional B (3B)","Maceió","Porto Calvo - São Luís do Quitunde","Leste Alagoano","Mata Alagoana"
"2701605","PR","canapi","https://cidades.ibge.gov.br/brasil/al/canapi","canapiense","17.715 pessoas","17.250 pessoas","30,02 hab/km² hab/km²","1,8 salários mínimos","676 pessoas","3,8 %","55,7 %","97,5 %","5,9","4,7","2.929 matrículas","716 matrículas","154 docentes","26 docentes","25 escolas","1 escolas","6.629,41 R$","- %","0,506","48.040,87 R$ (×1000)","46.949,49 R$ (×1000)","17,3 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","11 estabelecimentos","602,778 km²","6,2 %","51,7 %","0 %","Caatinga","Não pertence","Centro Local (5)","Santana do Ipanema - Centro Subregional B (3B)","Arapiraca","Santana do Ipanema","Sertão Alagoano","Serrana do Sertão Alagoano"
"2700904","PR","belo-monte","https://cidades.ibge.gov.br/brasil/al/belo-monte","belo-montense","6.717 pessoas","7.030 pessoas","21,04 hab/km² hab/km²","2,0 salários mínimos","346 pessoas","5,2 %","60,6 %","96,3 %","5,8","4,2","1.041 matrículas","157 matrículas","58 docentes","10 docentes","8 escolas","1 escolas","11.821,36 R$","94,3 %","0,517","22.674,20 R$ (×1000)","22.434,32 R$ (×1000)","31,58 óbitos por mil nascidos vivos","1,2 internações por mil habitantes","8 estabelecimentos","334,136 km²","34,1 %","84,5 %","5,6 %","Caatinga","Não pertence","Centro Local (5)","Arapiraca - Capital Regional C (2C)","Arapiraca","Pão de Açúcar - Olho d'Água das Flores ¿ Batalha","Sertão Alagoano","Batalha"
"2701100","PR","branquinha","https://cidades.ibge.gov.br/brasil/al/branquinha","branquinhense","10.426 pessoas","10.583 pessoas","63,63 hab/km² hab/km²","1,7 salários mínimos","536 pessoas","5,1 %","51,9 %","90 %","6,2","4,9","1.766 matrículas","332 matrículas","76 docentes","16 docentes","16 escolas","1 escolas","47.215,27 R$","88,4 %","0,513","32.873,10 R$ (×1000)","31.876,10 R$ (×1000)","5,41 óbitos por mil nascidos vivos","1 internações por mil habitantes","5 estabelecimentos","168,048 km²","36,3 %","41,2 %","1,9 %","Mata Atlântica","Não pertence","Centro Local (5)","União dos Palmares - Centro Subregional B (3B)","Maceió","União dos Palmares","Leste Alagoano","Mata Alagoana"
"2700805","PR","belem","https://cidades.ibge.gov.br/brasil/al/belem","belenense","4.226 pessoas","4.551 pessoas","93,58 hab/km² hab/km²","1,5 salários mínimos","582 pessoas","13,4 %","51,5 %","97,5 %","5,5","5,1","722 matrículas","157 matrículas","55 docentes","11 docentes","6 escolas","1 escolas","19.209,07 R$","- %","0,593","- R$ (×1000)","- R$ (×1000)","- óbitos por mil nascidos vivos","1,5 internações por mil habitantes","4 estabelecimentos","66,628 km²","18,8 %","96,6 %","26,9 %","Caatinga;Mata Atlântica","Não pertence","Centro Local (5)","Palmeira dos Índios - Centro Subregional B (3B)","Arapiraca","Palmeira dos Índios","Agreste Alagoano","Palmeira dos Índios"
